Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Michaela Abam\86a01c81,cm CMR,FW,Dash,23,1997,7,0,69,0.8,1,0,1,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches
2,Lindsay Agnew\13a319fa,ca CAN,FW,Courage,25,1995,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Michelle Alozie\b03e80f6,ng NGA,FW,Dash,23,1997,4,0,117,1.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Angelina\49d6d4a8,br BRA,MFFW,Reign,21,2000,16,4,482,5.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Chinyelu Asher\b859a598,jm JAM,DF,Spirit,27,1993,2,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Julia Ashley\d9bb5833,us USA,DF,Louisville,24,1996,15,6,654,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Taylor Aylmer\9768ff7b,,MF,Spirit,,,7,1,245,2.7,1,1,1,0,0,1,0,0.37,0.37,0.73,0.37,0.73,Matches
8,Dorian Bailey\1b15d6a3,us USA,MF,Spirit,24,1997,20,16,1489,16.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Rylee Baisden\54f9201c,us USA,FW,Courage,26,1994,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Bethany Balcer\0d502444,us USA,FW,Reign,23,1997,23,13,1185,13.2,9,0,9,0,0,3,0,0.68,0.00,0.68,0.68,0.68,Matches
11,Elizabeth Ball\eea3655d,us USA,DF,Kansas City,25,1995,16,16,1361,15.1,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
12,Karen Bardsley\7c903a2d,eng ENG,GK,Reign,36,1984,3,3,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Lauren Barnes\380c9205,us USA,DF,Reign,31,1989,21,20,1788,19.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Nicole Barnhart\ad0f455b,us USA,GK,Kansas City,39,1981,6,5,461,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Jorian Baucom\eae2b0a1,us USA,FW,Louisville,24,1996,12,3,402,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Hannah Betfort\130c8e6e,us USA,DF,Thorns,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Michelle Betos\9e11e21d,us USA,GK,Louisville,32,1988,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Camryn Biegalski\76828205,us USA,DF,Spirit,22,1998,9,2,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Bella Bixby\73eb19a8,us USA,GK,Thorns,25,1995,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Deneisha Blackwood\930d5a13,jm JAM,DF,Dash,23,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Aubrey Bledsoe\020eaa4d,us USA,GK,Spirit,29,1991,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Gemma Bonner\488a84df,eng ENG,DF,Louisville,29,1991,13,13,1155,12.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Sarah Bouhaddi\a6a9dbe0,fr FRA,GK,Reign,34,1986,19,19,1687,18.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
24,Celeste Boureille\9fb7f4cb,us USA,MF,Thorns,26,1994,12,7,650,7.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Katie Bowen\aae0d96d,nz NZL,MFDF,Kansas City,26,1994,17,14,1193,13.3,0,2,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
26,Emily Boyd\a08ec16b,us USA,GK,Red Stars,24,1996,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Amber Brooks\f9f76078,us USA,DF,Reign,30,1991,11,2,328,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Diane Caldwell\b4a17233,ie IRL,DF,Courage,32,1988,7,7,602,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Jane Campbell\c40fd1ac,us USA,GK,Dash,25,1995,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Allysha Chapman\afcbf4d8,ca CAN,DF,Dash,32,1989,16,16,1407,15.6,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
31,Simone Charley\78400c25,us USA,FW,Thorns,25,1995,19,11,957,10.6,5,0,5,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches
32,Danielle Colaprico\24478b0c,us USA,MF,Red Stars,27,1993,15,9,890,9.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
33,Alana Cook\7ca7c385,us USA,DF,Reign,23,1997,19,19,1710,19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Rachel Corsie\49fd636f,sct SCO,DF,Kansas City,31,1989,18,17,1441,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Stephanie Cox\88032c64,us USA,DF,Reign,34,1986,3,1,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Shirley Cruz\69a5c1ae,cr CRC,MF,Reign,35,1985,12,5,429,4.8,2,0,2,0,0,2,0,0.42,0.00,0.42,0.42,0.42,Matches
37,Jennifer Cudjoe\e9bd1db2,gh GHA,MF,Gotham FC,26,1994,14,9,812,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Abby Dahlkemper\52b58405,us USA,DF,Dash,27,1993,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Rachel Daly\7fa35ec9,eng ENG,FW,Dash,29,1991,15,15,1350,15.0,9,0,8,1,1,3,0,0.60,0.00,0.60,0.53,0.53,Matches
40,Tierna Davidson\543614ff,us USA,DF,Red Stars,22,1998,17,17,1485,16.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Debinha\85cea0cf,br BRA,MF,Courage,29,1991,18,18,1530,17.0,3,2,3,0,0,0,0,0.18,0.12,0.29,0.18,0.29,Matches
42,Schuyler DeBree\f0aeff93,us USA,FW,Courage,24,1996,2,0,14,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Ella Dederick\b6e16071,us USA,GK,Reign,24,1996,3,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Kate Del Fava\8cfb97f5,us USA,DFFW,Kansas City,22,1998,9,3,397,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Amanda Dennis\6071b9cc,us USA,GK,Dash,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Hannah Diaz\d50b31a8,us USA,FW,Dash,24,1996,2,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Vanessa DiBernardo\e940a089,us USA,MFFW,Red Stars,28,1992,18,15,1333,14.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Jordan DiBiasi\7858f8fd,us USA,MF,Spirit,24,1996,3,0,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Makenzy Doniak\2d4436d1,us USA,FW,Red Stars,26,1994,17,7,602,6.7,3,0,3,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches
50,Imani Dorsey\92f8713a,us USA,DF,Gotham FC,24,1996,15,13,1193,13.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Meggie Dougherty Howard\173bcb80,us USA,MF,Pride,25,1995,21,15,1247,13.9,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
52,Crystal Dunn\a20c6459,us USA,MFFW,Thorns,28,1992,15,12,1071,11.9,1,2,1,0,0,1,0,0.08,0.17,0.25,0.08,0.25,Matches
53,Caprice Dydasco\c4f44958,us USA,DFMF,Gotham FC,27,1993,24,23,2070,23.0,1,5,1,0,0,3,0,0.04,0.22,0.26,0.04,0.26,Matches
54,Elizabeth Eddy\9002f1a5,us USA,DFMF,Gotham FC,29,1991,17,5,569,6.3,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
55,Kristen Edmonds\1e3c5371,us USA,DFMF,Kansas City,33,1987,21,21,1713,19.0,1,0,0,1,1,2,0,0.05,0.00,0.05,0.00,0.00,Matches
56,Emily van Egmond\6e9716f6,au AUS,MF,Pride,27,1993,2,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Emina Ekic\8a985938,us USA,MF,Louisville,21,1999,15,3,428,4.8,1,1,1,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
58,Abby Erceg\c34e49ab,nz NZL,DF,Courage,31,1989,20,20,1800,20.0,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
59,Julie Ertz\e8079363,us USA,MF,Red Stars,28,1992,1,1,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Marissa Everett\56d6c719,us USA,MF,Thorns,23,1997,10,6,523,5.8,2,0,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches
61,Jamia Fields\ad856f64,us USA,DF,Dash,27,1993,8,4,410,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Jess Fishlock\11cfa9d6,wls WAL,MF,Reign,34,1987,23,21,1797,20.0,5,4,5,0,1,1,0,0.25,0.20,0.45,0.25,0.45,Matches
63,Kendall Fletcher\1a89c2bd,us USA,DFMF,Courage,36,1984,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Sabrina Flores\e43b277b,us USA,DF,Gotham FC,25,1996,5,3,201,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Emily Fox\2eb9f54a,us USA,DF,Louisville,22,1998,23,22,1852,20.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Adrianna Franch\2d2234cf,us USA,GK,Kansas City,30,1990,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Adrianna Franch\2d2234cf,us USA,GK,Thorns,30,1990,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Mandy Freeman\ee5355a7,us USA,DF,Gotham FC,25,1995,10,8,713,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Morgan Gautrat\f44c4259,us USA,MF,Red Stars,27,1993,21,21,1803,20.0,2,1,0,2,2,3,0,0.10,0.05,0.15,0.00,0.05,Matches
70,Machaela George\f11bfc17,,DF,Reign,,,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Makamae Gomera-Stevens\876c8ede,,FW,Dash,,,13,4,423,4.7,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
72,Zoey Goralski\754c7614,us USA,MF,Red Stars,26,1995,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Sarah Gorden\c6122e4b,us USA,DF,Red Stars,28,1992,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Shea Groom\ee96ceb8,us USA,MF,Dash,27,1993,24,21,1679,18.7,3,2,3,0,0,5,0,0.16,0.11,0.27,0.16,0.27,Matches
75,Kristen Hamilton\93d9a391,us USA,MFFW,Courage,28,1992,10,5,510,5.7,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
76,Kristen Hamilton\93d9a391,us USA,FW,Kansas City,28,1992,14,13,1139,12.7,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
77,Madison Hammond\16368450,us USA,DF,Reign,23,1997,13,10,853,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Haley Hanson\45cf25bf,us USA,DF,Dash,24,1996,22,21,1856,20.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
79,DiDi Haracic\42ecf0e8,ba BIH,GK,Gotham FC,28,1992,8,8,675,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Ally Haran\d66d6128,ca CAN,DF,Pride,24,1996,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Ashlyn Harris\4c7ad183,us USA,GK,Pride,35,1985,19,19,1686,18.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Lindsey Harris\655d2b08,us USA,GK,Dash,27,1993,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Ashley Hatch\d2de2f84,us USA,FWMF,Spirit,25,1995,20,18,1559,17.3,10,0,10,0,0,2,0,0.58,0.00,0.58,0.58,0.58,Matches
84,Kelcie Hedge\39281f0d,us USA,MF,Reign,23,1997,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Anna Heilferty\b7dd09b9,us USA,DFMF,Spirit,21,1999,19,8,823,9.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Brooke Hendrix\ab662bbc,us USA,DF,Louisville,27,1993,7,6,553,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Allie Hess\51a87f25,,MF,Kansas City,,,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Samantha Hiatt\14c10a5a,us USA,DF,Reign,23,1998,9,9,729,8.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Rachel Hill\1d8b51dd,us USA,MFFW,Red Stars,25,1995,23,15,1317,14.6,3,0,3,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
90,Lindsey Horan\a8a538a8,us USA,MFFW,Thorns,26,1994,14,14,1153,12.8,2,3,2,0,0,4,0,0.16,0.23,0.39,0.16,0.39,Matches
91,Kelli Hubly\bc03c54d,us USA,DF,Thorns,26,1994,18,12,1165,12.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Sofia Huerta\570faa60,us USA,DFMF,Reign,28,1992,23,22,2015,22.4,1,6,1,0,0,2,0,0.04,0.27,0.31,0.04,0.31,Matches
93,Tori Huster\3b1156ac,us USA,MFDF,Spirit,31,1989,20,15,1358,15.1,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,Matches
94,Natalie Jacobs\c942bc07,us USA,MF,Spirit,23,1997,4,1,170,1.9,0,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches
95,Angharad James\6444e5a0,wls WAL,MF,Courage,26,1994,16,10,813,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
96,Darian Jenkins\5747f555,us USA,FWMF,Kansas City,26,1995,22,18,1425,15.8,3,0,3,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches
97,Celia Jiménez\221e8e04,es ESP,DF,Reign,25,1995,12,9,704,7.8,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches
98,Estelle Johnson\6c6d7d3b,cm CMR,DF,Gotham FC,32,1988,19,18,1662,18.5,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
99,Jaycie Johnson\81cca947,us USA,FW,Kansas City,25,1995,5,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Katie Johnson\a1158ec2,mx MEX,MFFW,Red Stars,26,1994,23,9,886,9.8,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches
101,Vanessa Kara\c4955f6c,do DOM,FW,Louisville,24,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Nahomi Kawasumi\05e20bac,jp JPN,MFFW,Gotham FC,35,1985,23,18,1500,16.7,1,4,1,0,0,1,0,0.06,0.24,0.30,0.06,0.30,Matches
103,Abi Kim\c5f5fc93,us USA,FW,Pride,22,1998,6,1,151,1.7,0,1,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60,Matches
104,Tziarra King\679eda9b,us USA,FWMF,Reign,22,1998,15,7,650,7.2,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
105,Cecelia Kizer\8e2a7ac1,us USA,MFFW,Louisville,23,1997,22,22,1881,20.9,5,1,4,1,1,0,0,0.24,0.05,0.29,0.19,0.24,Matches
106,Meghan Klingenberg\22a2b293,us USA,DF,Thorns,32,1988,22,20,1645,18.3,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
107,Taylor Kornieck\9d2c6180,us USA,MF,Pride,22,1998,22,13,1293,14.4,2,3,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,Matches
108,Ali Krieger\21922d46,us USA,DF,Pride,36,1984,23,23,1965,21.8,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
109,Casey Krueger\ed06502e,us USA,DF,Red Stars,30,1990,16,16,1440,16.0,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
110,Natalia Kuikka\42325547,fi FIN,DF,Thorns,25,1995,19,14,1371,15.2,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
111,Kaleigh Kurtz\23b17daa,us USA,DF,Courage,23,1997,21,21,1890,21.0,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
112,Lo'eau LaBonta\e4ef9beb,us USA,MF,Kansas City,27,1993,19,17,1380,15.3,1,1,0,1,1,4,0,0.07,0.07,0.13,0.00,0.07,Matches
113,Mariana Larroquette\09411c68,ar ARG,FWMF,Kansas City,28,1992,19,8,655,7.3,2,1,2,0,0,1,0,0.27,0.14,0.41,0.27,0.41,Matches
114,Veronica Latsko\2c4a9c2f,us USA,FW,Dash,25,1995,22,14,1278,14.2,3,1,3,0,0,2,0,0.21,0.07,0.28,0.21,0.28,Matches
115,Rose Lavelle\dcd6a67e,us USA,MFFW,Reign,25,1995,11,11,930,10.3,1,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,Matches
116,Eugénie Le Sommer\1139a223,fr FRA,FWMF,Reign,31,1989,17,15,1210,13.4,7,3,7,0,0,2,0,0.52,0.22,0.74,0.52,0.74,Matches
117,Taylor Leach\7e23ee28,us USA,DFMF,Kansas City,29,1992,8,7,630,7.0,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
118,Sydney Leroux\7d7d1c00,us USA,MFFW,Pride,30,1990,23,23,2015,22.4,8,2,8,0,0,1,0,0.36,0.09,0.45,0.36,0.45,Matches
119,Sarah Leubbert\66b3643f,us USA,FW,Red Stars,23,1997,5,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Gina Lewandowski\fd4f486f,us USA,DF,Gotham FC,35,1985,20,20,1767,19.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Jordyn Listro\8717208c,ca CAN,MF,Kansas City,25,1995,7,1,227,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Carli Lloyd\f9589b2d,us USA,FWMF,Gotham FC,38,1982,14,14,1238,13.8,4,1,3,1,1,3,0,0.29,0.07,0.36,0.22,0.29,Matches
123,Chloe Logarzo\40a0bec9,au AUS,MF,Kansas City,26,1994,6,0,177,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Allie Long\ab2811ad,us USA,MF,Gotham FC,33,1987,23,23,2058,22.9,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
125,Jimena López\6a17de86,mx MEX,DF,Reign,22,1999,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
126,Katie Lund\e70a7484,us USA,GK,Louisville,24,1996,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Tyler Lussi\bab2c5ab,us USA,FW,Thorns,26,1995,10,1,160,1.8,1,0,1,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches
128,Hailie Mace\388948a7,us USA,FWDF,Kansas City,23,1997,13,10,823,9.1,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
129,Hailie Mace\388948a7,us USA,FW,Courage,23,1997,10,2,288,3.2,2,0,2,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
130,Michelle Maemone\981ae7b1,us USA,DF,Kansas City,23,1997,5,2,242,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Dzsenifer Marozsán\dd841e78,de GER,MFFW,Reign,28,1992,19,16,1383,15.4,0,3,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
132,Marta\3857e361,br BRA,MFFW,Pride,34,1986,19,17,1585,17.6,4,3,3,1,1,2,0,0.23,0.17,0.40,0.17,0.34,Matches
133,Nealy Martin\b26a8c1f,us USA,DF,Louisville,22,1998,18,13,1290,14.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Merritt Mathias\98d7b49e,us USA,DF,Courage,30,1990,22,22,1815,20.2,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches
